~     MAC: 00-17-0d-00-00-32-dc-61
~  Status: DISCONNECTED
~   Coord: (None,None)
~ User ID: None
-- 03/11/2022
17:38:17, 2554, 0, 0
17:38:27, 2556, 4412, 0
17:38:38, 2558, 0, 1000
17:38:49, 2554, 4524, 0
17:38:59, 2558, 0, 0
17:39:10, 2558, 4356, 1000
17:39:21, 2558, 0, 0
17:39:31, 2558, 4294, 0
17:39:42, 2563, 0, 1000
17:39:53, 2560, 4353, 0
17:40:03, 2560, 0, 0
17:40:14, 2558, 4319, 1000
17:40:25, 2561, 0, 0
17:40:35, 2563, 4409, 0
17:40:46, 2557, 0, 1000
17:40:57, 2560, 4270, 0
17:41:07, 2558, 0, 0
17:41:18, 2561, 4336, 1000
17:41:29, 2561, 0, 0
17:41:39, 2560, 4189, 0
17:41:50, 2558, 0, 1000
17:42:01, 2558, 4199, 0
17:42:11, 2561, 0, 0
17:42:22, 2561, 4268, 1000
17:42:33, 2564, 0, 0
17:42:43, 2563, 4375, 0
17:42:54, 2561, 0, 1000
17:43:05, 2563, 4346, 0
17:43:15, 2561, 0, 0
17:43:26, 2561, 4397, 1000
17:43:37, 2561, 0, 0
17:43:47, 2564, 4351, 0
17:43:58, 2563, 0, 1000
17:44:09, 2560, 4302, 0
17:44:19, 2560, 0, 0
17:44:30, 2560, 4209, 1000
17:44:41, 2560, 0, 0
17:44:51, 2564, 4307, 0
17:45:02, 2560, 0, 1000
17:45:13, 2560, 4268, 0
17:45:23, 2564, 0, 0
17:45:34, 2565, 4534, 1000
17:45:45, 2567, 0, 0
17:45:55, 2565, 4348, 0
17:46:06, 2563, 0, 1000
17:46:17, 2565, 4214, 0
17:46:27, 2565, 0, 0
17:46:38, 2569, 4478, 1000
17:46:49, 2568, 0, 0
17:46:59, 2564, 4368, 0
17:47:10, 2567, 0, 1000
17:47:21, 2567, 4326, 0
17:47:31, 2565, 0, 0
17:47:42, 2565, 4382, 1000
17:47:53, 2565, 0, 0
17:48:03, 2568, 4265, 0
17:48:14, 2567, 0, 1000
17:48:25, 2565, 4216, 0
17:48:35, 2568, 0, 0
17:48:46, 2567, 4324, 1000
17:48:57, 2568, 0, 0
17:49:07, 2569, 4270, 0
17:49:18, 2567, 0, 1000
17:49:29, 2571, 4460, 0
17:49:39, 2569, 0, 0
17:49:50, 2573, 4280, 1000
17:50:01, 2573, 0, 0
17:50:11, 2571, 4224, 0
17:50:22, 2573, 0, 1000
17:50:33, 2573, 4207, 0
17:50:43, 2571, 0, 0
17:50:54, 2571, 4185, 1000
17:51:05, 2575, 0, 0
17:51:15, 2575, 4519, 0
17:51:26, 2575, 0, 1000
17:51:37, 2575, 4343, 0
17:51:47, 2575, 0, 0
17:51:58, 2721, 5496, 1000
17:52:08, 2669, 0, 0
17:52:19, 2652, 4277, 0
17:52:30, 2638, 0, 1000
17:52:41, 2634, 4285, 0
17:52:51, 2627, 0, 0
17:53:02, 2623, 4375, 1000
17:53:13, 2619, 0, 0
17:53:23, 2616, 4177, 0
17:53:34, 2612, 0, 1000
17:53:45, 2610, 4272, 0
17:53:55, 2608, 0, 0
17:54:06, 2608, 4167, 1000
17:54:16, 2605, 0, 0
17:54:27, 2602, 4148, 0
17:54:38, 2601, 0, 1000
17:54:49, 2601, 4138, 0
17:54:59, 2601, 0, 0
17:55:10, 2600, 4180, 1000
17:55:20, 2600, 0, 0
17:55:31, 2597, 4287, 0
17:55:42, 2598, 0, 1000
17:55:52, 2594, 4282, 0
17:56:03, 2594, 0, 0
17:56:14, 2591, 4160, 1000
17:56:24, 2590, 0, 0
17:56:35, 2590, 4153, 0
17:56:46, 2583, 0, 1000
17:56:57, 2587, 4204, 0
17:57:07, 2586, 0, 0
17:57:18, 2587, 4167, 1000
17:57:28, 2587, 0, 0
17:57:39, 2586, 4360, 0
17:57:50, 2584, 0, 1000
17:58:00, 2584, 4385, 0
17:58:11, 2584, 0, 0
17:58:22, 2583, 4456, 1000
17:58:32, 2584, 0, 0
17:58:43, 2583, 4404, 0
17:58:54, 2584, 0, 1000
17:59:04, 2584, 4627, 0
17:59:15, 2583, 0, 0
17:59:26, 2583, 4448, 1000
17:59:36, 2583, 0, 0
17:59:47, 2583, 4446, 0
17:59:58, 2580, 0, 1000
18:00:08, 2583, 4490, 0
18:00:19, 2584, 0, 0
18:00:30, 2583, 4463, 1000
18:00:40, 2583, 0, 0
18:00:51, 2582, 4280, 0
18:01:02, 2579, 0, 1000
18:01:12, 2582, 4316, 0
18:01:23, 2580, 0, 0
18:01:34, 2580, 4248, 1000
18:01:44, 2582, 0, 0
18:01:55, 2580, 4238, 0
18:02:06, 2579, 0, 1000
18:02:16, 2579, 4214, 0
18:02:27, 2578, 0, 0
18:02:38, 2578, 4197, 1000
18:02:48, 2578, 0, 0
18:02:59, 2578, 4180, 0
18:03:10, 2576, 0, 1000
-- 03/25/2022
00:50:07, 2364, 4707, 1000
00:50:17, 2368, 0, 0
00:50:28, 2375, 4734, 0
